x,y,z
-0.21333334,0.049623404,-0.7389852
-0.18666668,0.026666667,-0.74556935
-0.10666667,0.053333335,-0.7529033
-0.13333334,0.026666667,-0.7443805
-0.026666667,0.053333335,-0.78007656
-0.053333335,0.026666667,-0.7645177
-0.61729974,0.53333336,-0.8789559
-0.6307125,0.50666666,-0.8782977
-0.6392805,0.29665005,-0.87996274
-0.632887,0.092462406,-0.87761104
-0.49217635,0.08534397,-0.875059
-0.43018797,0.08185821,-0.8217256
-0.45333335,0.087202184,-0.8483923
-0.42666668,0.10398737,-0.85333335
-0.34666666,0.11734354,-0.8266667
-0.37333336,0.116474256,-0.85333335
-0.26666668,0.12927932,-0.8266667
-0.29333332,0.13109557,-0.85333335
-0.18666668,0.12583773,-0.8266667
-0.21333334,0.12705672,-0.85333335
-0.10666667,0.13176905,-0.8266667
-0.13333334,0.12710556,-0.85333335
-0.026666667,0.11231939,-0.8266667
-0.053333335,0.1285666,-0.85333335
-0.60622036,0.06730381,-0.87761104
-0.58666664,0.04063714,-0.8702236
-0.61333334,0.026666667,-0.86692137
-0.5455097,0.04063714,-0.8726124
-0.51884305,0.053333335,-0.8676713
-0.50666666,0.026666667,-0.85252833
-0.40352133,0.035539307,-0.80370545
-0.43018797,0.053333335,-0.82543105
-0.45333335,0.026666667,-0.8369547
-0.39785603,0.008872638,-0.80370545
-0.57325387,0.58666664,-0.9032768
-0.58289516,0.61333334,-0.89103025
-0.5385812,0.61333334,-0.9443636
-0.54918724,0.58666664,-0.92994344
-0.5773792,0.50666666,-0.9066055
-0.5906331,0.53333336,-0.89224654
-0.54114866,0.53333336,-0.9455798
-0.5519614,0.50666666,-0.93327224
-0.58189064,0.42666668,-0.9078591
-0.5992699,0.45333335,-0.89435893
-0.54270196,0.45333335,-0.9476922
-0.5507406,0.42666668,-0.9345257
-0.58594716,0.34666666,-0.90729874
-0.6078378,0.37333336,-0.8935002
-0.5415396,0.37333336,-0.9468335
-0.5507991,0.34666666,-0.9339654
-0.6126138,0.29665005,-0.89379865
-0.61333334,0.26998335,-0.8938488
-0.58666664,0.26666668,-0.9099272
-0.54131544,0.29333332,-0.94713193
-0.55051637,0.26666668,-0.9365437
-0.58666664,0.21333334,-0.91610646
-0.61333334,0.18666668,-0.90493125
-0.5437524,0.21333334,-0.9494118
-0.553236,0.18666668,-0.9427229
-0.632887,0.11912906,-0.88490325
-0.60622036,0.10666667,-0.89387745
-0.58666664,0.13333334,-0.9138552
-0.49217635,0.10070369,-0.9066667
-0.51884305,0.12202639,-0.9266445
-0.5455097,0.10666667,-0.908952
-0.52656937,0.14869305,-0.95331115
-0.42666668,0.12061821,-0.9066667
-0.45333335,0.119192734,-0.93333334
-0.34666666,0.13441195,-0.9066667
-0.37333336,0.13507017,-0.93333334
-0.26666668,0.13173541,-0.9066667
-0.29333332,0.13592106,-0.93333334
-0.18666668,0.12884246,-0.9066667
-0.21333334,0.13170488,-0.93333334
-0.10666667,0.12981641,-0.9066667
-0.13333334,0.13033432,-0.93333334
-0.026666667,0.12315936,-0.9066667
-0.053333335,0.12907267,-0.93333334
-0.57955366,0.06730381,-0.8889742
-0.5455097,0.06730381,-0.8889742
-0.5236321,0.61333334,-0.9866667
-0.51878446,0.58666664,-1.0133333
-0.525695,0.53333336,-0.9866667
-0.5253388,0.50666666,-1.0133333
-0.531533,0.45333335,-0.9866667
-0.52782434,0.42666668,-1.0133333
-0.52979237,0.37333336,-0.9866667
-0.52722806,0.34666666,-1.0133333
-0.52949166,0.29333332,-0.9866667
-0.5212837,0.26666668,-1.0133333
-0.52634346,0.21333334,-0.9866667
-0.51456666,0.18666668,-1.0133333
-0.5053089,0.15773353,-1.0133333
-0.49990273,0.1464266,-0.9866667
-0.42666668,0.13480163,-0.9866667
-0.45333335,0.1407128,-1.0133333
-0.34666666,0.13890453,-0.9866667
-0.37333336,0.14006148,-1.0133333
-0.26666668,0.1380108,-0.9866667
-0.29333332,0.14033607,-1.0133333
-0.18666668,0.13688658,-0.9866667
-0.21333334,0.13900685,-1.0133333
-0.10666667,0.13356644,-0.9866667
-0.13333334,0.13725628,-1.0133333
-0.026666667,0.12937634,-0.9866667
-0.053333335,0.1333522,-1.0133333
-0.5254777,0.61333334,-1.0666667
-0.5370803,0.58666664,-1.0933334
-0.5300309,0.53333336,-1.0666667
-0.54249936,0.50666666,-1.0933334
-0.5340986,0.45333335,-1.0666667
-0.54170644,0.42666668,-1.0933334
-0.5328678,0.37333336,-1.0666667
-0.54035896,0.34666666,-1.0933334
-0.5265112,0.29333332,-1.0666667
-0.53028107,0.26666668,-1.0933334
-0.51327664,0.21333334,-1.0666667
-0.5094683,0.18666668,-1.0933334
-0.49085552,0.15615623,-1.0933334
-0.4854062,0.15388976,-1.0666667
-0.42666668,0.14702824,-1.0666667
